,Year,m,d,Time,Cloud amount (1/8),Relative humidity (%),Precipitation intensity (mm/h),Air temperature (degC),Wind speed (m/s)
0,2019,4,1,00:00,0.0,77.0,0.0,-0.1,4.6
1,2019,4,1,00:10,0.0,77.0,0.0,0.0,4.8
2,2019,4,1,00:20,0.0,77.0,0.0,0.1,5.1
3,2019,4,1,00:30,0.0,77.0,0.0,0.1,4.9
4,2019,4,1,00:40,0.0,76.0,0.0,0.2,5.3
5,2019,4,1,00:50,0.0,77.0,0.0,0.0,5.0
6,2019,4,1,01:00,0.0,78.0,0.0,-0.1,5.1
7,2019,4,1,01:10,0.0,77.0,0.0,0.0,5.2
8,2019,4,1,01:20,0.0,77.0,0.0,0.0,5.0
9,2019,4,1,01:30,0.0,78.0,0.0,0.0,4.1
10,2019,4,1,01:40,0.0,80.0,0.0,-0.5,4.6
11,2019,4,1,01:50,0.0,81.0,0.0,-0.6,4.9
12,2019,4,1,02:00,0.0,82.0,0.0,-0.9,4.5
13,2019,4,1,02:10,0.0,81.0,0.0,-0.7,4.4
14,2019,4,1,02:20,0.0,82.0,0.0,-1.0,4.4
15,2019,4,1,02:30,0.0,84.0,0.0,-1.1,4.7
16,2019,4,1,02:40,0.0,84.0,0.0,-1.1,4.2
17,2019,4,1,02:50,0.0,84.0,0.0,-1.2,4.1
18,2019,4,1,03:00,0.0,84.0,0.0,-1.2,3.9
19,2019,4,1,03:10,0.0,85.0,0.0,-1.4,4.1
20,2019,4,1,03:20,0.0,85.0,0.0,-1.2,3.9
21,2019,4,1,03:30,0.0,85.0,0.0,-1.3,4.3
22,2019,4,1,03:40,0.0,86.0,0.0,-1.2,4.5
23,2019,4,1,03:50,0.0,84.0,0.0,-1.0,4.2
24,2019,4,1,04:00,0.0,84.0,0.0,-1.0,4.0
25,2019,4,1,04:10,0.0,84.0,0.0,-1.1,4.1
26,2019,4,1,04:20,0.0,84.0,0.0,-0.9,4.3
27,2019,4,1,04:30,0.0,84.0,0.0,-0.9,4.2
28,2019,4,1,04:40,0.0,82.0,0.0,-0.5,4.5
29,2019,4,1,04:50,0.0,82.0,0.0,-0.5,4.8
30,2019,4,1,05:00,0.0,80.0,0.0,-0.1,4.7
31,2019,4,1,05:10,0.0,79.0,0.0,0.2,4.5
32,2019,4,1,05:20,0.0,77.0,0.0,0.5,4.8
33,2019,4,1,05:30,0.0,76.0,0.0,0.7,4.2
34,2019,4,1,05:40,0.0,74.0,0.0,1.1,4.8
35,2019,4,1,05:50,0.0,71.0,0.0,1.4,5.3
36,2019,4,1,06:00,0.0,68.0,0.0,1.7,5.0
37,2019,4,1,06:10,0.0,67.0,0.0,2.0,4.4
38,2019,4,1,06:20,0.0,66.0,0.0,2.2,4.5
39,2019,4,1,06:30,0.0,65.0,0.0,2.3,4.5
40,2019,4,1,06:40,0.0,64.0,0.0,2.5,4.2
41,2019,4,1,06:50,0.0,64.0,0.0,2.6,4.5
42,2019,4,1,07:00,0.0,61.0,0.0,3.3,4.1
43,2019,4,1,07:10,0.0,62.0,0.0,3.2,5.0
44,2019,4,1,07:20,0.0,62.0,0.0,3.3,5.3
45,2019,4,1,07:30,0.0,59.0,0.0,3.4,4.9
46,2019,4,1,07:40,0.0,56.0,0.0,3.7,4.5
47,2019,4,1,07:50,0.0,60.0,0.0,4.1,4.6
48,2019,4,1,08:00,0.0,55.0,0.0,4.1,5.2
49,2019,4,1,08:10,0.0,55.0,0.0,4.5,5.0
50,2019,4,1,08:20,0.0,52.0,0.0,4.5,5.5
51,2019,4,1,08:30,0.0,51.0,0.0,4.9,6.0
52,2019,4,1,08:40,0.0,48.0,0.0,5.3,4.4
53,2019,4,1,08:50,0.0,46.0,0.0,5.2,4.3
54,2019,4,1,09:00,0.0,42.0,0.0,5.2,6.1
55,2019,4,1,09:10,0.0,42.0,0.0,5.4,5.4
56,2019,4,1,09:20,0.0,40.0,0.0,5.6,5.3
57,2019,4,1,09:30,0.0,40.0,0.0,5.9,6.2
58,2019,4,1,09:40,0.0,40.0,0.0,5.8,6.2
59,2019,4,1,09:50,0.0,40.0,0.0,6.1,7.2
60,2019,4,1,10:00,0.0,39.0,0.0,6.4,5.2
61,2019,4,1,10:10,0.0,35.0,0.0,6.6,5.7
62,2019,4,1,10:20,0.0,38.0,0.0,6.5,5.3
63,2019,4,1,10:30,0.0,38.0,0.0,6.8,5.5
