Year,m,d,Time,Time zone,Cloud amount (1/8),Relative humidity (%),Precipitation intensity (mm/h),Air temperature (degC),Wind speed (m/s)
2019,4,1,00:00,UTC,0,77,0,-0.1,4.6
2019,4,1,00:10,UTC,0,77,0,0,4.8
2019,4,1,00:20,UTC,0,77,0,0.1,5.1
2019,4,1,00:30,UTC,0,77,0,0.1,4.9
2019,4,1,00:40,UTC,0,76,0,0.2,5.3
2019,4,1,00:50,UTC,0,77,0,0,5
2019,4,1,01:00,UTC,0,78,0,-0.1,5.1
2019,4,1,01:10,UTC,0,77,0,0,5.2
2019,4,1,01:20,UTC,0,77,0,0,5
2019,4,1,01:30,UTC,0,78,0,0,4.1
2019,4,1,01:40,UTC,0,80,0,-0.5,4.6
2019,4,1,01:50,UTC,0,81,0,-0.6,4.9
2019,4,1,02:00,UTC,0,82,0,-0.9,4.5
2019,4,1,02:10,UTC,0,81,0,-0.7,4.4
2019,4,1,02:20,UTC,0,82,0,-1,4.4
2019,4,1,02:30,UTC,0,84,0,-1.1,4.7
2019,4,1,02:40,UTC,0,84,0,-1.1,4.2
2019,4,1,02:50,UTC,0,84,0,-1.2,4.1
2019,4,1,03:00,UTC,0,84,0,-1.2,3.9
2019,4,1,03:10,UTC,0,85,0,-1.4,4.1
2019,4,1,03:20,UTC,0,85,0,-1.2,3.9
2019,4,1,03:30,UTC,0,85,0,-1.3,4.3
2019,4,1,03:40,UTC,0,86,0,-1.2,4.5
2019,4,1,03:50,UTC,0,84,0,-1,4.2
2019,4,1,04:00,UTC,0,84,0,-1,4
2019,4,1,04:10,UTC,0,84,0,-1.1,4.1
2019,4,1,04:20,UTC,0,84,0,-0.9,4.3
2019,4,1,04:30,UTC,0,84,0,-0.9,4.2
2019,4,1,04:40,UTC,0,82,0,-0.5,4.5
2019,4,1,04:50,UTC,0,82,0,-0.5,4.8
2019,4,1,05:00,UTC,0,80,0,-0.1,4.7
2019,4,1,05:10,UTC,0,79,0,0.2,4.5
2019,4,1,05:20,UTC,0,77,0,0.5,4.8
2019,4,1,05:30,UTC,0,76,0,0.7,4.2
2019,4,1,05:40,UTC,0,74,0,1.1,4.8
2019,4,1,05:50,UTC,0,71,0,1.4,5.3
2019,4,1,06:00,UTC,0,68,0,1.7,5
2019,4,1,06:10,UTC,0,67,0,2,4.4
2019,4,1,06:20,UTC,0,66,0,2.2,4.5
