Year,m,d,Time,Time zone,Cloud amount (1/8),Relative humidity (%),Precipitation intensity (mm/h),Air temperature (degC),Wind speed (m/s)
2019,9,1,00:00,UTC,0,99,0,15.4,2.3
2019,9,1,00:10,UTC,0,99,0,15.4,2.3
2019,9,1,00:20,UTC,0,99,0,15.4,2.1
2019,9,1,00:30,UTC,0,99,0,15.3,1.9
2019,9,1,00:40,UTC,0,99,0,15.1,1.9
2019,9,1,00:50,UTC,0,99,0,15.2,1.8
2019,9,1,01:00,UTC,0,99,0,15,1.9
2019,9,1,01:10,UTC,0,99,0,14.8,1.8
2019,9,1,01:20,UTC,0,99,0,14.9,1.9
2019,9,1,01:30,UTC,0,99,0,14.7,2.1
2019,9,1,01:40,UTC,0,99,0,14.5,2.2
2019,9,1,01:50,UTC,0,99,0,14.4,2.1
2019,9,1,02:00,UTC,0,99,0,14.5,2.1
2019,9,1,02:10,UTC,0,99,0,14.7,2.4
2019,9,1,02:20,UTC,1,99,0,14.6,2.4
2019,9,1,02:30,UTC,0,99,0,14.9,2.5
2019,9,1,02:40,UTC,1,99,0,14.9,2.7
2019,9,1,02:50,UTC,1,99,0,15,2.7
2019,9,1,03:00,UTC,1,99,0,14.8,2.7
2019,9,1,03:10,UTC,1,99,0,14.4,2.7
2019,9,1,03:20,UTC,1,99,0,14.6,2.7
2019,9,1,03:30,UTC,1,99,0,14.4,2.3
2019,9,1,03:40,UTC,1,99,0,14.5,2.2
2019,9,1,03:50,UTC,0,99,0,14.4,2
2019,9,1,04:00,UTC,0,99,0,14.8,2.3
2019,9,1,04:10,UTC,0,99,0,14.4,2
2019,9,1,04:20,UTC,0,99,0,14.7,2
2019,9,1,04:30,UTC,0,99,0,14.7,1.9
2019,9,1,04:40,UTC,0,99,0,14.9,2.4
2019,9,1,04:50,UTC,1,99,0,14.9,2.9
2019,9,1,05:00,UTC,1,99,0,15.5,2.4
2019,9,1,05:10,UTC,1,99,0,16.3,2.5
2019,9,1,05:20,UTC,1,99,0,16.9,2.2
2019,9,1,05:30,UTC,1,98,0,17.3,2.2
2019,9,1,05:40,UTC,1,96,0,17.3,2
2019,9,1,05:50,UTC,0,89,0,18,2.3
2019,9,1,06:00,UTC,0,85,0,18.5,3
2019,9,1,06:10,UTC,0,80,0,18.8,2.9
2019,9,1,06:20,UTC,0,79,0,18.9,2.9
2019,9,1,06:30,UTC,0,75,0,19.2,2.8
2019,9,1,06:40,UTC,0,72,0,19.4,2.3
2019,9,1,06:50,UTC,0,74,0,19.6,2.8
2019,9,1,07:00,UTC,0,75,0,19.6,2.9
2019,9,1,07:10,UTC,0,77,0,19.2,3.6
2019,9,1,07:20,UTC,0,75,0,19.6,3.2
2019,9,1,07:30,UTC,0,72,0,20.2,2.8
2019,9,1,07:40,UTC,0,71,0,19.9,3.5
2019,9,1,07:50,UTC,0,72,0,20.1,2.6
2019,9,1,08:00,UTC,0,70,0,20.8,2.8
2019,9,1,08:10,UTC,0,68,0,20.9,3.6
2019,9,1,08:20,UTC,0,65,0,20.3,3.5
2019,9,1,08:30,UTC,0,66,0,20.4,3.6
2019,9,1,08:40,UTC,0,62,0,20.5,3.2
2019,9,1,08:50,UTC,0,59,0,20.8,2.9
2019,9,1,09:00,UTC,0,57,0,21.2,2.5
2019,9,1,09:10,UTC,0,55,0,21.1,3.4
2019,9,1,09:20,UTC,0,56,0,21.1,2.9
2019,9,1,09:30,UTC,0,56,0,21.2,2.8
2019,9,1,09:40,UTC,0,49,0,21.4,3
2019,9,1,09:50,UTC,0,49,0,21.7,2.6
2019,9,1,10:00,UTC,0,49,0,21.6,3
2019,9,1,10:10,UTC,0,50,0,22.1,2.4
2019,9,1,10:20,UTC,0,51,0,22.1,3.2
2019,9,1,10:30,UTC,0,52,0,22.2,3.7
2019,9,1,10:40,UTC,0,51,0,22,4.1
2019,9,1,10:50,UTC,0,53,0,22,3.8
2019,9,1,11:00,UTC,0,54,0,22.3,3.2
2019,9,1,11:10,UTC,0,55,0,22,2
2019,9,1,11:20,UTC,0,54,0,22.1,3
2019,9,1,11:30,UTC,0,54,0,22.3,3.9
2019,9,1,11:40,UTC,0,54,0,22.2,4.6
2019,9,1,11:50,UTC,0,57,0,22.1,3.7
2019,9,1,12:00,UTC,0,58,0,21.3,4
2019,9,1,12:10,UTC,0,57,0,22,3.9
2019,9,1,12:20,UTC,0,59,0,22,4.5
2019,9,1,12:30,UTC,0,56,0,21.8,4.4
2019,9,1,12:40,UTC,0,58,0,21.9,3.8
2019,9,1,12:50,UTC,0,60,0,21.5,3.3
2019,9,1,13:00,UTC,0,59,0,21.3,3.8
2019,9,1,13:10,UTC,0,61,0,21,3.7
2019,9,1,13:20,UTC,0,62,0,21.2,4.3
2019,9,1,13:30,UTC,0,64,0,20.9,3.6
2019,9,1,13:40,UTC,0,61,0,21.1,3.4
2019,9,1,13:50,UTC,0,62,0,21,3.5
2019,9,1,14:00,UTC,0,60,0,21.1,3.3
2019,9,1,14:10,UTC,0,59,0,21.2,4.5
2019,9,1,14:20,UTC,0,59,0,21.1,4.2
2019,9,1,14:30,UTC,0,59,0,21.1,4.8
2019,9,1,14:40,UTC,0,59,0,20.7,3.8
2019,9,1,14:50,UTC,0,59,0,20.4,4.8
2019,9,1,15:00,UTC,0,61,0,20.1,4.7
2019,9,1,15:10,UTC,0,64,0,20.2,4.2
2019,9,1,15:20,UTC,0,68,0,19.9,4.1
2019,9,1,15:30,UTC,0,69,0,19.7,4.2
2019,9,1,15:40,UTC,0,69,0,19.7,3.5
2019,9,1,15:50,UTC,0,72,0,19.5,3.7
2019,9,1,16:00,UTC,0,71,0,19.4,3.2
2019,9,1,16:10,UTC,0,72,0,19.3,3.5
2019,9,1,16:20,UTC,0,73,0,19.2,4.1
2019,9,1,16:30,UTC,0,75,0,19,3.1
2019,9,1,16:40,UTC,0,76,0,18.9,3.6
2019,9,1,16:50,UTC,0,77,0,18.7,4.2
2019,9,1,17:00,UTC,0,77,0,18.6,4.6
2019,9,1,17:10,UTC,0,77,0,18.7,4.2
2019,9,1,17:20,UTC,0,78,0,18.5,3.6
2019,9,1,17:30,UTC,0,79,0,18.4,2.8
2019,9,1,17:40,UTC,0,80,0,18.3,2.5
2019,9,1,17:50,UTC,0,80,0,18.2,2.7
2019,9,1,18:00,UTC,0,81,0,18.1,3
2019,9,1,18:10,UTC,0,80,0,18.1,2.9
2019,9,1,18:20,UTC,0,82,0,17.9,2.5
2019,9,1,18:30,UTC,0,83,0,17.9,3
2019,9,1,18:40,UTC,0,84,0,17.9,3.1
2019,9,1,18:50,UTC,0,85,0,17.7,2.9
2019,9,1,19:00,UTC,0,87,0,17.7,2.7
